name,repeat_status,stim_type,button_resp.rt,button_resp.keys,correct_key,accuracy,trial_type
images/faces/male/Dr_Phil.jpg,original,face,,,None,1.0,correct rejection
images/objects/26468374.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/8077486.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/ACOWBOYH3.jpg,repeat,object,,,2,0.0,miss
images/objects/babyseatback.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Prince_William.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Candy_Spelling.jpg,original,face,,,None,1.0,correct rejection
images/objects/swingset.jpg,repeat,object,,,2,0.0,miss
images/objects/Atoyball.jpg,repeat,object,0.7021477920061443,2,2,1.0,hit
images/faces/female/Meghan_Rapinoe.jpg,repeat,face,0.6617585419880925,2,2,1.0,hit
images/faces/female/Ellen_DeGeneres.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Tom_Hardy.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Tucker_Carlson.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Simone_Biles.jpg,original,face,,,None,1.0,correct rejection
images/objects/23065398.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Beyonce.jpg,original,face,,,None,1.0,correct rejection
images/objects/23041782.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Tom_Brady.jpg,original,face,,,None,1.0,correct rejection
images/objects/Abowl74.jpg,original,object,,,None,1.0,correct rejection
images/objects/Aoilcan11.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Nikki_De_Jager.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Rachel_McAdams.jpg,original,face,,,None,1.0,correct rejection
images/objects/23028486.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/26432217.thl.jpg,repeat,object,0.6241432079987135,2,2,1.0,hit
images/faces/female/Carly_Rae_Jepsen.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Paul_Dano.jpg,original,face,0.8925768750050338,2,None,0.0,false alarm
images/objects/26378596.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Leonardo_DiCaprio.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Michelle_Dockery.jpg,original,face,,,None,1.0,correct rejection
images/objects/Amilkcrate2.jpg,original,object,,,None,1.0,correct rejection
images/objects/26425322.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/John_Grisham.jpg,original,face,,,None,1.0,correct rejection
images/objects/ABROCHETT.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Julie_Sarinana.jpg,original,face,,,None,1.0,correct rejection
images/objects/26437080.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/heartchocolat.jpg,original,object,,,None,1.0,correct rejection
images/objects/heartchocolat.jpg,repeat,object,0.2731581660045776,2,2,1.0,hit
images/objects/26440261.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/funlamp.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Bryan_Cranston.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Sanjay_Gupta.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Hillary_Duff.jpg,original,face,0.8462272920005489,2,None,0.0,false alarm
images/objects/DSCN3767-sm.jpg,original,object,,,None,1.0,correct rejection
images/objects/tricycle.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Hillary_Duff.jpg,repeat,face,0.5441307919973042,2,2,1.0,hit
images/objects/22856784.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Lionel_Messi.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Mary_Barra.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Max_Verstappen.jpg,original,face,,,None,1.0,correct rejection
images/objects/8245419.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Margaret_Atwood.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Nora_Roberts.jpg,original,face,,,None,1.0,correct rejection
images/objects/22925624.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/AANTHAT2.jpg,original,object,,,None,1.0,correct rejection
images/objects/ACANOL.jpg,original,object,,,None,1.0,correct rejection
images/objects/26425322.thl.jpg,repeat,object,0.6428902499901596,2,2,1.0,hit
images/faces/male/George_Clooney.jpg,repeat,face,,,2,0.0,miss
images/objects/Abottleopener.jpg,original,object,,,None,1.0,correct rejection
images/objects/Aflower136.jpg,original,object,0.7015229999960866,2,None,0.0,false alarm
images/objects/jumpmattress.jpg,original,object,0.610225915996125,2,None,0.0,false alarm
images/objects/fireking-file-cabinet.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Spike_Lee.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Caleb_Dressel.jpg,original,face,,,None,1.0,correct rejection
images/objects/26424075.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/saltpeppershakerjpg.jpg,original,object,,,None,1.0,correct rejection
images/objects/Atoyfiretru11.jpg,original,object,0.7584115829959046,2,None,0.0,false alarm
images/objects/AARMCHA25.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Tom_Hardy.jpg,repeat,face,0.5851995830016676,2,2,1.0,hit
images/objects/ATOWRACK3.jpg,original,object,,,None,1.0,correct rejection
images/objects/23051010.thl.jpg,repeat,object,0.6581599160126643,2,2,1.0,hit
images/objects/ACENTRIF5.jpg,original,object,,,None,1.0,correct rejection
images/objects/26387436.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Paul_Rudd.jpg,original,face,,,None,1.0,correct rejection
images/objects/26424973.thl.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Donald_Glover.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Scarlett_Johansson.jpg,original,face,0.7311026670067804,2,None,0.0,false alarm
images/objects/26684634.thl.jpg,original,object,,,None,1.0,correct rejection
images/objects/AAIRPORTC.jpg,original,object,,,None,1.0,correct rejection
images/faces/female/Billie_Eilish.jpg,original,face,0.8329935830115573,2,None,0.0,false alarm
images/faces/female/Jennifer_Lopez.jpg,original,face,0.5425011670013191,2,None,0.0,false alarm
images/faces/female/Beyonce.jpg,repeat,face,0.3698408749914961,2,2,1.0,hit
images/faces/male/Mitch_McConnell.jpg,original,face,,,None,1.0,correct rejection
images/faces/female/Vanessa_Hudgens.jpg,original,face,,,None,1.0,correct rejection
images/objects/ACDRAINER.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/David_Schwimmer.jpg,original,face,,,None,1.0,correct rejection
images/faces/male/Prince_Harry.jpg,repeat,face,0.5662919169990346,2,2,1.0,hit
images/objects/retainertheeth.jpg,original,object,,,None,1.0,correct rejection
images/faces/male/Eddie_Redmayne.jpg,original,face,,,None,1.0,correct rejection
,,,,,None,,NaN
